datetime,temp,humidity,windspeed,cloudcover,conditions,solar_radiation,solar_energy,uv_index,ac_power_output_kW
01-07-2024 00:00,31.0,79.33,7.6,50.0,Partially cloudy,0.0,0.0,0.0,0.0
01-07-2024 01:00,31.0,84.11,7.6,50.0,Partially cloudy,0.0,0.0,0.0,0.0
01-07-2024 02:00,30.7,78.99,2.2,82.3,Partially cloudy,0.0,0.0,0.0,0.0
01-07-2024 03:00,30.0,84.0,7.6,50.0,Partially cloudy,0.0,0.0,0.0,0.0
01-07-2024 04:00,29.0,88.99,7.6,50.0,Partially cloudy,0.0,0.0,0.0,0.0
01-07-2024 05:00,29.1,82.84,2.7,42.9,Partially cloudy,0.0,0.0,0.0,0.0
01-07-2024 06:00,29.0,83.9,11.2,50.0,Partially cloudy,0.0,0.0,0.0,0.0
01-07-2024 07:00,29.0,83.9,9.4,50.0,Partially cloudy,39.0,0.1,0.0,0.0
01-07-2024 08:00,30.9,72.86,5.2,44.0,Partially cloudy,197.0,0.7,2.0,2.6881091617933723
01-07-2024 09:00,31.0,70.47,11.2,88.9,Partially cloudy,389.0,1.4,4.0,2.10423976608187
01-07-2024 10:00,31.0,79.33,9.4,88.9,Partially cloudy,522.0,1.9,5.0,3.529605263157893
01-07-2024 11:00,32.8,67.6,4.9,81.4,Partially cloudy,183.0,0.7,2.0,0.8293859649122804
01-07-2024 12:00,33.0,66.78,9.4,88.9,Partially cloudy,791.0,2.8,8.0,8.557602339181281
01-07-2024 13:00,34.0,63.14,11.2,88.9,Partially cloudy,906.0,3.3,9.0,11.026973684210521
01-07-2024 14:00,35.2,60.48,7.0,81.3,Partially cloudy,897.0,3.2,9.0,18.392434210526318
01-07-2024 15:00,35.0,59.73,7.6,88.9,Partially cloudy,746.0,2.7,7.0,7.0619152046783595
01-07-2024 16:00,35.0,59.73,11.2,88.9,Partially cloudy,658.0,2.4,7.0,6.228874269005845
01-07-2024 17:00,35.1,61.06,6.0,51.5,Partially cloudy,292.0,1.1,3.0,5.1761695906432745
01-07-2024 18:00,34.0,63.14,9.4,50.0,Partially cloudy,255.0,0.9,3.0,4.660087719298246
01-07-2024 19:00,33.0,66.78,11.2,50.0,Partially cloudy,140.0,0.5,1.0,0.0
01-07-2024 20:00,33.3,70.58,8.1,42.9,Partially cloudy,0.0,0.0,0.0,0.0
01-07-2024 21:00,33.0,70.84,5.4,50.0,Partially cloudy,0.0,0.0,0.0,0.0
01-07-2024 22:00,33.0,70.84,5.4,88.9,Partially cloudy,0.0,0.0,0.0,0.0
01-07-2024 23:00,32.9,72.58,1.5,81.3,Partially cloudy,0.0,0.0,0.0,0.0
02-07-2024 01:00,32.0,79.46,3.6,88.9,Partially cloudy,0.0,0.0,0.0,0.0
02-07-2024 02:00,32.0,73.54,1.5,81.3,Partially cloudy,0.0,0.0,0.0,0.0
02-07-2024 03:00,32.0,70.66,7.6,88.9,Partially cloudy,0.0,0.0,0.0,0.0
02-07-2024 04:00,31.0,74.79,7.6,88.9,Partially cloudy,0.0,0.0,0.0,0.0
02-07-2024 05:00,31.5,74.09,3.2,81.3,Partially cloudy,0.0,0.0,0.0,0.0
02-07-2024 06:00,31.0,79.33,9.4,88.9,Partially cloudy,0.0,0.0,0.0,0.0
02-07-2024 07:00,31.0,84.11,7.6,88.9,Partially cloudy,12.0,0.0,0.0,0.0
02-07-2024 08:00,31.8,77.06,2.7,89.7,Partially cloudy,109.0,0.4,1.0,0.13678118908382061
02-07-2024 09:00,32.0,70.66,9.4,88.9,Partially cloudy,304.0,1.1,3.0,1.2333333333333325
02-07-2024 10:00,35.3,47.03,11.2,100.0,"Rain, Overcast",398.0,1.4,4.0,0.0
02-07-2024 11:00,33.9,64.74,6.5,82.6,Partially cloudy,630.0,2.3,6.0,8.013157894736844
02-07-2024 12:00,34.0,66.98,7.6,88.9,Partially cloudy,721.0,2.6,7.0,6.825255847953213
02-07-2024 13:00,35.0,59.73,5.4,88.9,Partially cloudy,810.0,2.9,8.0,8.763157894736839
02-07-2024 14:00,36.0,60.35,8.2,89.7,Partially cloudy,862.0,3.1,9.0,9.735307017543857
02-07-2024 15:00,36.0,56.52,11.2,88.9,Partially cloudy,756.0,2.7,8.0,8.17894736842105
02-07-2024 16:00,35.0,63.35,13.0,88.9,Partially cloudy,641.0,2.3,6.0,5.201096491228068
02-07-2024 17:00,35.6,62.04,10.6,89.7,Partially cloudy,500.0,1.8,5.0,3.137183235867446
02-07-2024 18:00,34.0,66.98,14.8,88.9,Partially cloudy,336.0,1.2,3.0,1.3631578947368412
