datetime,temp,humidity,windspeed,cloudcover,conditions,solar_radiation,solar_energy,uv_index
01-07-2024 00:00,31.0,79.33,7.6,50.0,Partially cloudy,0.0,0.0,0.0
01-07-2024 01:00,31.0,84.11,7.6,50.0,Partially cloudy,0.0,0.0,0.0
01-07-2024 02:00,30.7,78.99,2.2,82.3,Partially cloudy,0.0,0.0,0.0
01-07-2024 03:00,30.0,84.0,7.6,50.0,Partially cloudy,0.0,0.0,0.0
01-07-2024 04:00,29.0,88.99,7.6,50.0,Partially cloudy,0.0,0.0,0.0
01-07-2024 05:00,29.1,82.84,2.7,42.9,Partially cloudy,0.0,0.0,0.0
01-07-2024 06:00,29.0,83.9,11.2,50.0,Partially cloudy,0.0,0.0,0.0
01-07-2024 07:00,29.0,83.9,9.4,50.0,Partially cloudy,39.0,0.1,0.0
01-07-2024 08:00,30.9,72.86,5.2,44.0,Partially cloudy,197.0,0.7,2.0
01-07-2024 09:00,31.0,70.47,11.2,88.9,Partially cloudy,389.0,1.4,4.0
01-07-2024 10:00,31.0,79.33,9.4,88.9,Partially cloudy,522.0,1.9,5.0
01-07-2024 11:00,32.8,67.6,4.9,81.4,Partially cloudy,183.0,0.7,2.0
01-07-2024 12:00,33.0,66.78,9.4,88.9,Partially cloudy,791.0,2.8,8.0
01-07-2024 13:00,34.0,63.14,11.2,88.9,Partially cloudy,906.0,3.3,9.0
01-07-2024 14:00,35.2,60.48,7.0,81.3,Partially cloudy,897.0,3.2,9.0
01-07-2024 15:00,35.0,59.73,7.6,88.9,Partially cloudy,746.0,2.7,7.0
01-07-2024 16:00,35.0,59.73,11.2,88.9,Partially cloudy,658.0,2.4,7.0
01-07-2024 17:00,35.1,61.06,6.0,51.5,Partially cloudy,292.0,1.1,3.0
01-07-2024 18:00,34.0,63.14,9.4,50.0,Partially cloudy,255.0,0.9,3.0
01-07-2024 19:00,33.0,66.78,11.2,50.0,Partially cloudy,140.0,0.5,1.0
01-07-2024 20:00,33.3,70.58,8.1,42.9,Partially cloudy,0.0,0.0,0.0
01-07-2024 21:00,33.0,70.84,5.4,50.0,Partially cloudy,0.0,0.0,0.0
01-07-2024 22:00,33.0,70.84,5.4,88.9,Partially cloudy,0.0,0.0,0.0
01-07-2024 23:00,32.9,72.58,1.5,81.3,Partially cloudy,0.0,0.0,0.0
02-07-2024 01:00,32.0,79.46,3.6,88.9,Partially cloudy,0.0,0.0,0.0
02-07-2024 02:00,32.0,73.54,1.5,81.3,Partially cloudy,0.0,0.0,0.0
02-07-2024 03:00,32.0,70.66,7.6,88.9,Partially cloudy,0.0,0.0,0.0
02-07-2024 04:00,31.0,74.79,7.6,88.9,Partially cloudy,0.0,0.0,0.0
02-07-2024 05:00,31.5,74.09,3.2,81.3,Partially cloudy,0.0,0.0,0.0
02-07-2024 06:00,31.0,79.33,9.4,88.9,Partially cloudy,0.0,0.0,0.0
02-07-2024 07:00,31.0,84.11,7.6,88.9,Partially cloudy,12.0,0.0,0.0
02-07-2024 08:00,31.8,77.06,2.7,89.7,Partially cloudy,109.0,0.4,1.0
02-07-2024 09:00,32.0,70.66,9.4,88.9,Partially cloudy,304.0,1.1,3.0
02-07-2024 10:00,35.3,47.03,11.2,100.0,"Rain, Overcast",398.0,1.4,4.0
02-07-2024 11:00,33.9,64.74,6.5,82.6,Partially cloudy,630.0,2.3,6.0
02-07-2024 12:00,34.0,66.98,7.6,88.9,Partially cloudy,721.0,2.6,7.0
02-07-2024 13:00,35.0,59.73,5.4,88.9,Partially cloudy,810.0,2.9,8.0
02-07-2024 14:00,36.0,60.35,8.2,89.7,Partially cloudy,862.0,3.1,9.0
02-07-2024 15:00,36.0,56.52,11.2,88.9,Partially cloudy,756.0,2.7,8.0
02-07-2024 16:00,35.0,63.35,13.0,88.9,Partially cloudy,641.0,2.3,6.0
02-07-2024 17:00,35.6,62.04,10.6,89.7,Partially cloudy,500.0,1.8,5.0
02-07-2024 18:00,34.0,66.98,14.8,88.9,Partially cloudy,336.0,1.2,3.0
02-07-2024 19:00,33.0,70.84,4.3,88.0,Partially cloudy,141.0,0.5,1.0
02-07-2024 20:00,32.5,72.89,6.5,88.4,Partially cloudy,0.0,0.0,0.0
02-07-2024 21:00,32.0,74.95,9.4,88.9,Partially cloudy,0.0,0.0,0.0
02-07-2024 22:00,31.0,79.33,7.6,88.9,Partially cloudy,0.0,0.0,0.0
02-07-2024 23:00,30.8,79.89,9.4,88.4,Partially cloudy,0.0,0.0,0.0
03-07-2024 00:00,30.0,89.07,11.2,50.0,Partially cloudy,0.0,0.0,0.0
03-07-2024 02:00,30.1,81.89,10.1,58.4,Partially cloudy,0.0,0.0,0.0
03-07-2024 03:00,30.0,94.4,5.4,50.0,Partially cloudy,0.0,0.0,0.0
03-07-2024 04:00,30.0,94.4,9.4,50.0,Partially cloudy,0.0,0.0,0.0
03-07-2024 05:00,30.1,84.4,6.0,70.2,Partially cloudy,0.0,0.0,0.0
03-07-2024 06:00,31.0,79.33,11.2,67.5,Partially cloudy,0.0,0.0,0.0
03-07-2024 07:00,31.0,79.33,7.6,88.9,Partially cloudy,30.0,0.1,0.0
03-07-2024 08:00,31.9,75.54,1.9,96.8,Overcast,158.0,0.6,2.0
03-07-2024 09:00,32.0,74.95,5.4,88.9,Partially cloudy,356.0,1.3,4.0
03-07-2024 10:00,33.0,66.78,5.4,88.9,Partially cloudy,451.0,1.6,5.0
03-07-2024 11:00,33.9,71.74,8.8,96.8,Overcast,529.0,1.9,5.0
03-07-2024 12:00,34.0,71.01,14.8,88.9,Partially cloudy,554.0,2.0,6.0
03-07-2024 13:00,33.0,79.6,11.2,88.9,Partially cloudy,77.0,0.3,1.0
03-07-2024 14:00,30.3,85.08,11.9,96.8,Overcast,226.0,0.8,2.0
03-07-2024 15:00,26.0,100.0,14.8,100.0,Overcast,271.0,1.0,3.0
03-07-2024 16:00,26.0,100.0,7.6,100.0,Overcast,167.0,0.6,2.0
03-07-2024 17:00,25.5,99.0,5.4,96.8,"Rain, Overcast",129.0,0.5,1.0
03-07-2024 18:00,27.0,94.27,3.6,88.9,Partially cloudy,99.0,0.4,1.0
03-07-2024 19:00,27.0,100.0,5.4,88.9,Partially cloudy,52.0,0.2,1.0
03-07-2024 20:00,26.4,97.82,6.0,89.7,Partially cloudy,0.0,0.0,0.0
03-07-2024 21:00,27.0,94.27,11.2,88.9,Partially cloudy,0.0,0.0,0.0
03-07-2024 23:00,26.8,95.47,7.6,88.4,Partially cloudy,0.0,0.0,0.0
04-07-2024 00:00,27.0,88.84,7.6,88.9,Partially cloudy,0.0,0.0,0.0
04-07-2024 01:00,27.0,88.84,11.2,88.9,Partially cloudy,0.0,0.0,0.0
04-07-2024 02:00,26.8,95.47,10.4,89.7,Partially cloudy,0.0,0.0,0.0
04-07-2024 04:00,27.0,94.27,9.4,88.9,Partially cloudy,0.0,0.0,0.0
04-07-2024 05:00,26.9,97.24,2.2,100.0,Overcast,0.0,0.0,0.0
04-07-2024 06:00,26.0,100.0,9.4,100.0,Overcast,0.0,0.0,0.0
04-07-2024 07:00,26.0,100.0,7.6,100.0,Overcast,29.0,0.1,0.0
04-07-2024 08:00,27.2,94.9,8.8,99.9,"Rain, Overcast",172.0,0.6,2.0
04-07-2024 09:00,27.0,100.0,9.4,100.0,Overcast,347.0,1.2,3.0
04-07-2024 10:00,29.0,94.36,9.4,88.9,Partially cloudy,556.0,2.0,6.0
04-07-2024 11:00,29.6,84.72,1.6,100.0,Overcast,677.0,2.4,7.0
04-07-2024 12:00,30.0,89.07,5.4,100.0,Overcast,759.0,2.7,8.0
04-07-2024 13:00,30.0,94.4,3.6,100.0,Overcast,376.0,1.4,4.0
04-07-2024 14:00,30.0,85.65,8.1,100.0,"Rain, Overcast",676.0,2.4,7.0
04-07-2024 15:00,30.0,94.4,11.2,100.0,Overcast,702.0,2.5,7.0
04-07-2024 16:00,30.0,84.0,9.4,88.9,Partially cloudy,681.0,2.5,7.0
04-07-2024 17:00,31.3,77.94,6.5,66.9,Partially cloudy,528.0,1.9,5.0
04-07-2024 18:00,31.0,79.33,11.2,88.9,Partially cloudy,311.0,1.1,3.0
04-07-2024 19:00,30.0,84.0,7.6,50.0,Partially cloudy,156.0,0.6,2.0
04-07-2024 20:00,30.0,82.39,4.9,71.4,Partially cloudy,0.0,0.0,0.0
04-07-2024 23:00,29.1,87.16,4.7,50.6,Partially cloudy,0.0,0.0,0.0
05-07-2024 00:00,29.0,88.99,0.0,27.2,Partially cloudy,0.0,0.0,0.0
05-07-2024 01:00,29.0,88.99,0.0,50.0,Partially cloudy,0.0,0.0,0.0
05-07-2024 02:00,28.5,89.47,1.5,72.7,Partially cloudy,0.0,0.0,0.0
05-07-2024 03:00,28.0,94.32,5.4,50.0,Partially cloudy,0.0,0.0,0.0
05-07-2024 04:00,28.0,94.32,9.4,50.0,Partially cloudy,0.0,0.0,0.0
05-07-2024 05:00,28.0,90.71,5.4,79.8,Partially cloudy,0.0,0.0,0.0
05-07-2024 06:00,28.0,94.32,7.6,88.9,Partially cloudy,0.0,0.0,0.0
05-07-2024 07:00,29.0,94.36,9.4,88.9,Partially cloudy,36.0,0.1,0.0
05-07-2024 08:00,30.0,84.7,6.0,96.7,Overcast,190.0,0.7,2.0
05-07-2024 09:00,30.0,89.07,5.4,88.9,Partially cloudy,384.0,1.4,4.0
05-07-2024 10:00,30.0,89.07,9.4,100.0,Overcast,573.0,2.1,6.0
05-07-2024 11:00,30.3,90.31,6.0,100.0,"Rain, Overcast",731.0,2.6,7.0
05-07-2024 12:00,31.0,89.14,11.2,100.0,Overcast,794.0,2.9,8.0
05-07-2024 13:00,31.0,84.11,11.2,100.0,Overcast,297.0,1.1,3.0
05-07-2024 14:00,32.4,72.43,13.2,95.6,Overcast,369.0,1.3,4.0
05-07-2024 15:00,31.0,74.79,18.4,88.9,Partially cloudy,517.0,1.9,5.0
05-07-2024 16:00,31.0,74.79,18.4,88.9,Partially cloudy,432.0,1.6,4.0
05-07-2024 17:00,31.7,74.79,14.7,83.8,Partially cloudy,223.0,0.8,2.0
05-07-2024 18:00,30.0,84.0,14.8,88.9,Partially cloudy,153.0,0.6,2.0
05-07-2024 19:00,29.0,88.99,9.4,88.9,Partially cloudy,106.0,0.4,1.0
05-07-2024 20:00,29.6,85.65,12.7,89.7,Partially cloudy,0.0,0.0,0.0
05-07-2024 21:00,29.0,94.36,16.6,88.9,Partially cloudy,0.0,0.0,0.0
05-07-2024 22:00,29.0,94.36,13.0,88.9,Partially cloudy,0.0,0.0,0.0
05-07-2024 23:00,28.1,92.4,7.0,89.7,Partially cloudy,0.0,0.0,0.0
06-07-2024 00:00,28.0,100.0,13.0,88.9,Partially cloudy,0.0,0.0,0.0
06-07-2024 01:00,28.0,94.32,11.2,88.9,Partially cloudy,0.0,0.0,0.0
06-07-2024 02:00,28.3,89.45,9.9,89.7,Partially cloudy,0.0,0.0,0.0
06-07-2024 03:00,28.0,94.32,9.4,88.9,Partially cloudy,0.0,0.0,0.0
